Country,"Life Expectancy at birth, total(years)",Poverty,Population,Population growth(annual percentage),Net Migraion,GDP
Senegal ,69,17.9,"18,931,966",2.3,"-12,636",37.01
Serbia ,76,1.1,"6,549,143",-0.6,"-13,086",99.95
Seychelles ,76,0.7,"122,730",1.1,"1,590",2.39
Sierra Leone ,62,41.5,"8,819,794",2.0,"-11,309",7.46
Singapore ,83,Not available,"6,111,175",1.2,"16,892",603.87
Sint Maarten (Dutch part) ,77,Not available,"43,923",1.3,530,1.89
Slovak Republic ,78,0.5,"5,413,813",-0.2,"-31,377",154.53
Slovenia ,82,0.0,"2,130,986",0.2,"2,711",79.65
Solomon Islands ,71,40.3,"838,645",2.3,"1,631",1.75
"Somalia, Fed. Rep. ",59,Not available,"19,654,739",3.3,"12,077",13
South Africa ,66,17.4,"64,747,319",1.1,"146,370",427.18
South Sudan ,58,76.5,"12,188,788",2.0,"6,145",12
Spain ,84,0.8,"49,355,143",1.0,"96,630",1.91
Sri Lanka ,78,2.7,"21,756,000",-0.7,"-30,724",108.83
St. Kitts and Nevis ,72,Not available,"46,922",0.2,18,1.18
St. Lucia ,73,0.1,"180,149",0.2,-23,2.66
St. Martin (French part) ,80,Not available,"24,941",-4.7,"-1,170","649,206,263"
St. Vincent and the Grenadines ,71,Not available,"99,924",-0.7,-714,1.26
Sudan ,67,10.1,"51,662,147",2.4,"291,469",60.16
Suriname ,74,2.2,"639,850",0.9,-967,4.52
Sweden ,84,0.8,"10,596,620",0.3,"47,079",669
Switzerland ,84,0.2,"9,092,436",1.0,"37,253",1.04
Syrian Arab Republic ,73,18.0,"25,620,427",3.8,"421,693",23.74
Tajikistan ,72,6.1,"10,786,734",1.8,"-21,606",17.66
Tanzania ,67,51.3,"70,545,865",2.9,"-12,730",90.14
Thailand ,77,0.0,"71,619,863",-0.1,"27,509",577.01
Timor-Leste ,68,44.0,"1,418,517",1.3,"-2,550",1.9
Togo ,63,34.7,"8,591,626",2.2,"-15,010",11.89
Tonga ,73,0.4,"103,742",-0.4,"-2,150","679,218,219"
Trinidad and Tobago ,74,Not available,"1,367,764",-0.0,691,25.94
Tunisia ,77,0.7,"12,348,573",0.6,"-14,523",57.5
Turkiye ,77,0.2,"85,878,556",0.4,"-258,205",1.6
Turkmenistan ,70,Not available,"7,618,847",1.6,"13,268",49.83
Turks and Caicos Islands ,78,Not available,"46,855",0.7,177,1.75
Tuvalu ,67,9.0,"9,492",-1.6,-255,"57,345,435"
Uganda ,68,59.8,"51,384,894",2.7,"-119,059",61.99
Ukraine ,75,0.0,"38,980,376",2.9,"1,702,358",214.23
United Arab Emirates ,83,0.0,"11,513,149",4.7,"158,634",552.32
United Kingdom ,81,0.4,"69,487,000",0.3,"389,911",4
United States ,79,1.1,"341,784,857",0.5,"1,230,663",30.77
Uruguay ,78,0.2,"3,384,688",-0.1,"-1,338",85.35
Uzbekistan ,73,2.3,"37,053,428",1.9,"-6,987",147.04
Vanuatu ,72,19.5,"335,169",2.2,-52,1.35
"Venezuela, RB ",73,9.7,"28,516,896",0.4,"-100,467",99.66
Viet Nam ,75,1.6,"101,598,527",0.6,"-48,171",514.7
Virgin Islands (U.S.) ,81,Not available,"103,792",-0.6,-357,4.67
West Bank and Gaza ,69,2.1,"5,413,596",2.3,"-23,156",17.17
"Yemen, Rep. ",69,33.3,"41,773,878",2.9,"-16,291",21.61
Zambia ,67,71.7,"21,913,874",2.8,"6,562",28.88
Zimbabwe ,63,49.2,"16,950,795",1.9,"-54,555",51.22
